"filename", "language", "YAML", "Django HTML", "Groovy", "JSON", "Markdown", "Dart", "Properties", "XML", "C++", "Swift", "kotlin", "comment", "blank", "total"
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/ui/views/signIn/signin_view.dart", "Dart", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 3, 100
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/ui/views/signIn/signin_viewmodel.dart", "Dart", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 6, 58
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/ui/views/tabakliste/tabak_view.dart", "Dart", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 1, 4, 107
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/ui/views/tabakliste/tabak_viewmodel.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 8, 49
"/Users/ricked-corp/Documents/Projects/ShishaOase/lib/widgets/textform_widget.dart", "Dart", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 2, 20
"/Users/ricked-corp/Documents/Projects/ShishaOase/pubspec.yaml", "YAML", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 17, 93
"/Users/ricked-corp/Documents/Projects/ShishaOase/test/widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/ricked-corp/Documents/Projects/ShishaOase/web/index.html", "Django HTML", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"/Users/ricked-corp/Documents/Projects/ShishaOase/web/manifest.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 26, 30, 88, 208, 13, 1336, 9, 248, 1, 12, 4, 125, 244, 2344
